"region","prefecture","commune","canton","nom","categorie","est_public","a_terrain_sport","lon","lat"
"Maritime","Avé","Avé 1","Assahoun","EPP Apeyeme Gb","Primaire",TRUE,FALSE,0.913677087169312,6.44492640052427
"Plateaux","Haho","Haho 1","Notsé","JEDIL Hakedji","Primaire",FALSE,FALSE,1.06328866700253,6.83398688828608
"Maritime","Golfe","Golfe 7","Aflao-Sagbado","EC Sola Gratia College","Collège",FALSE,FALSE,1.14631371606969,6.1818185037024
"Maritime","Avé","Avé 1","Assahoun","EPC De Ana","Primaire",FALSE,FALSE,0.953885529371379,6.48571873895223
"Plateaux","Wawa","Wawa 2","Gbadi-N'kougna","JEP Dzogbe Kope Groupe A","Primaire",TRUE,FALSE,0.687323046094927,7.50288483889739
"Plateaux","Kloto","Kloto 1","Tomé","EPP Atchave","Primaire",TRUE,FALSE,0.645033333333332,6.83597166666667
"Centrale","Tchaoudjo","Tchaoudjo 1","Kparataou","EDIL Salimde","Primaire",FALSE,FALSE,1.187895,8.97052999999999
"Plateaux","Kloto","Kloto 1","Womé","EPP Fiomaketodzi","Primaire",TRUE,FALSE,0.543838333333334,6.86858166666666
"Plateaux","Kloto","Kloto 1","Womé","JEP Fiomaketodzi","Préscolaire",TRUE,FALSE,0.544426537907572,6.86868103158276
"Centrale","Blitta","Blitta 2","Langabou","JEP Gbegue","Préscolaire",TRUE,FALSE,1.13611295327138,8.14081472969781
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2","Légbassito","CPL Rego JE","Préscolaire",FALSE,TRUE,1.15625524353865,6.27761937129808
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1","Agoè-Nyivé","CS La Fabienne 3 Primaire","Primaire",FALSE,FALSE,1.1605103580548,6.23388663566674
"Maritime","Agoè-Nyivé","Agoè-Nyivé 4","Togblekope","EPL La Lumiere L.s","Primaire",FALSE,FALSE,1.19518381049462,6.26690675285211
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Wogblavi Kondji","Primaire",TRUE,FALSE,1.52348903877312,6.60392567451933
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Sikpe Adegou Gb","Primaire",TRUE,TRUE,1.54708925002141,6.61196550746648
"Maritime","Yoto","Yoto 1","Kini-Kondji","JEP Awoute Kondji","Préscolaire",TRUE,FALSE,1.536442764553,6.60333643023336
"Maritime","Yoto","Yoto 1","Kini-Kondji","JEP Kini Kondji","Préscolaire",TRUE,TRUE,1.54124438309655,6.60592631206042
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Awoute Kondji","Primaire",TRUE,FALSE,1.53662839115522,6.60331832858346
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Ahlemegni","Primaire",TRUE,TRUE,1.58738491758299,6.60316302450706
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Koleve","Primaire",TRUE,FALSE,1.31397568501279,6.56480625856804
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Kpokou Kondji","Primaire",TRUE,FALSE,1.61344187939347,6.58610674426555
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Bedjeme","Primaire",TRUE,FALSE,1.53133026577284,6.60272437575212
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Kini Kondji Ga","Primaire",TRUE,FALSE,1.54121218093081,6.60642630310117
"Plateaux","Akébou","Akébou 1","Djon","EPP Etchoulekpe","Primaire",TRUE,FALSE,0.641767910610933,7.71192768684918
"Maritime","Yoto","Yoto 1","Kini-Kondji","Lycée Kini Kondji","Collège",TRUE,FALSE,1.54036361299577,6.60397195023141
"Maritime","Yoto","Yoto 3","Gboto","JEP Gboto-zeve","Préscolaire",FALSE,FALSE,1.47837641518978,6.70439924404015
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Kini Kondji Gb","Primaire",TRUE,FALSE,1.54114412570372,6.60579969462683
"Maritime","Yoto","Yoto 2","Zafi","EPP Tove","Primaire",TRUE,TRUE,1.28488391238695,6.70598622651974
"Maritime","Yoto","Yoto 1","Kini-Kondji","Lycée Kini Kondji","Lycée",TRUE,FALSE,1.54044862209845,6.6039770361724
"Maritime","Yoto","Yoto 1","Kini-Kondji","EPP Sikpe Adegou Ga","Primaire",TRUE,TRUE,1.547478417392,6.61243365758269
"Maritime","Yoto","Yoto 2","Tchékpo","EEP Tchekpo Deve Gb","Primaire",TRUE,TRUE,1.36839411645188,6.48128622761706
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Deve","Primaire",TRUE,TRUE,1.3685061157577,6.48104649475858
"Plateaux","Kloto","Kloto 1","Kpadapé","EPP Sevenokope","Primaire",TRUE,FALSE,0.581753333333333,6.80130500000001
"Maritime","Yoto","Yoto 2","Tchékpo","JEP Tchekpo Deve","Préscolaire",TRUE,FALSE,1.36922897685161,6.48117216907622
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Avedji","Primaire",TRUE,FALSE,1.3808611206336,6.46611088867766
"Maritime","Golfe","Golfe 3","Bè-Ouest","CS Jean De La Fontaine College","Collège",FALSE,NA,1.21422540323265,6.15799356026654
"Maritime","Yoto","Yoto 2","Tchékpo","CEG Tchekpo Deve","Collège",TRUE,TRUE,1.37150050242283,6.4773903542618
"Maritime","Yoto","Yoto 2","Tchékpo","EEP Tchekpo Deve Gd","Primaire",FALSE,TRUE,1.37256818383172,6.48549821169102
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Deve Gc","Primaire",TRUE,TRUE,1.36880350034314,6.48135323884198
"Plateaux","Agou","Agou 2","Agotimé-Nord","EPC Tagbolokope","Primaire",FALSE,TRUE,0.767939252411273,6.68571426854045
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Anagali","Primaire",TRUE,TRUE,1.36232152397834,6.50755948496135
"Maritime","Yoto","Yoto 2","Tchékpo","JEP Tchekpo Dedekpoe 5","Préscolaire",TRUE,FALSE,1.362815302083,6.5287472270547
"Maritime","Yoto","Yoto 2","Tchékpo","EPC Tchekpo Dedekpoe","Primaire",FALSE,FALSE,1.36449045281369,6.53135884828146
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Dawou","Primaire",FALSE,FALSE,1.40356261949766,6.50274963701129
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Dedekpoe 5","Primaire",FALSE,FALSE,1.362445,6.52880666666665
"Maritime","Yoto","Yoto 2","Tchékpo","CEG Lycée Tchekpo Dedekpoe","Collège",TRUE,TRUE,1.36010725548401,6.52612727895663
"Maritime","Yoto","Yoto 2","Tchékpo","Lycée Tchekpo Dedekpoe","Lycée",TRUE,TRUE,1.36010906541755,6.52606036587229
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Avehe","Primaire",TRUE,TRUE,1.32752701963979,6.55821935964185
"Maritime","Yoto","Yoto 2","Tchékpo","Tchekpo Dedekpoe 1 Gb","Primaire",TRUE,TRUE,1.35863775072823,6.53333321217587
"Maritime","Yoto","Yoto 2","Tchékpo","EEP Tchekpo Dedekpoe 4","Primaire",TRUE,TRUE,1.35503857534639,6.53213849206472
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Dedekpoe 3 Ga","Primaire",TRUE,TRUE,1.36471925453396,6.53688749062586
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Dedekpoe","Primaire",FALSE,TRUE,1.35837176017769,6.53260831582138
"Maritime","Yoto","Yoto 2","Tchékpo","JEP Tchekpo Dedekpoe","Préscolaire",FALSE,FALSE,1.3590214286077,6.53348085685119
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Tchekpo Dedekpoe 2","Primaire",TRUE,TRUE,1.36331442259454,6.54035145270989
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Esse Zogbedji","Primaire",TRUE,TRUE,1.33304532728213,6.5833078368343
"Maritime","Golfe","Golfe 3","Bè-Ouest","CS Jean De La Fontaine Primaire","Primaire",FALSE,NA,1.21435236182742,6.15791629230311
"Maritime","Yoto","Yoto 2","Tchékpo","JEP Tchekpo Dedekpoe 2","Préscolaire",TRUE,FALSE,1.36302041926258,6.54025196749975
"Maritime","Yoto","Yoto 2","Tchékpo","EPE Tchekpo Dedekpoe","Primaire",FALSE,FALSE,1.35453461785435,6.54048541646312
"Maritime","Yoto","Yoto 2","Tchékpo","EPP Esse Nadje","Primaire",FALSE,FALSE,1.34683821006237,6.58481742169606
"Maritime","Yoto","Yoto 2","Tchékpo","JEP Esse Zogbedji","Préscolaire",TRUE,FALSE,1.33268767960855,6.5831049470743
"Maritime","Yoto","Yoto 2","Tchékpo","JEP Esse Nadje","Préscolaire",FALSE,FALSE,1.34666056888697,6.58486387628072
"Maritime","Yoto","Yoto 2","Tchékpo","EEP Tchekpo Dedekpoe 3 Gb","Primaire",FALSE,TRUE,1.36489605220762,6.53719766177355
"Plateaux","Kloto","Kloto 1","Kpadapé","CPL Esperance Kpadape","Collège",FALSE,FALSE,0.595450980748448,6.8370038597055
"Maritime","Yoto","Yoto 2","Zafi","EPP Agbekou","Primaire",FALSE,FALSE,1.29711541373177,6.60192208991419
"Plateaux","Kloto","Kloto 1","Kpadapé","CEG Yeviepe Nyive","Collège",TRUE,FALSE,0.579772096947112,6.81310437164738
"Maritime","Yoto","Yoto 2","Zafi","EPP Afougandji","Primaire",TRUE,FALSE,1.25707044169356,6.73567668811151
"Maritime","Yoto","Yoto 2","Zafi","EPP Zafi Gb","Primaire",FALSE,FALSE,1.37695714089478,6.62615584099203
"Maritime","Yoto","Yoto 2","Zafi","EPP Zafi Gc","Primaire",FALSE,FALSE,1.36805613709842,6.62128857251258
"Maritime","Yoto","Yoto 2","Zafi","EPP Zafi Ga","Primaire",FALSE,FALSE,1.37684448727531,6.62504658105656
"Maritime","Yoto","Yoto 3","Gboto","College Methodiste De Gboto Kossidame","Collège",FALSE,TRUE,1.48334133802288,6.68540870464167
"Maritime","Yoto","Yoto 2","Zafi","EPP Yoto Kope Gb","Primaire",TRUE,TRUE,1.31432089448547,6.73992655287787
"Maritime","Yoto","Yoto 2","Zafi","EPP Yoto Kope Ga","Primaire",TRUE,TRUE,1.31467289132893,6.7397773096406
"Plateaux","Kloto","Kloto 1","Womé","EPP Wome","Primaire",TRUE,FALSE,0.575702458910104,6.84823762630855
"Maritime","Yoto","Yoto 2","Zafi","EPP Yoto Kope Gc","Primaire",TRUE,TRUE,1.31394124327057,6.73964675238612
"Maritime","Yoto","Yoto 2","Zafi","EPL Bonne Esperance","Primaire",FALSE,FALSE,1.37427289037186,6.62402585638053
"Maritime","Yoto","Yoto 2","Zafi","EPm Zafi","Primaire",FALSE,FALSE,1.37452554417682,6.62549066399503
"Maritime","Yoto","Yoto 2","Zafi","JEP Yoto Kope","Préscolaire",TRUE,FALSE,1.31460730829945,6.73980058235476
"Maritime","Yoto","Yoto 3","Gboto","EPm Gboto Kossidame","Primaire",FALSE,TRUE,1.48370828027645,6.68510269452947
"Maritime","Yoto","Yoto 2","Zafi","EPC Zafi","Primaire",FALSE,FALSE,1.37572885763325,6.62214613189441
"Maritime","Yoto","Yoto 2","Zafi","EPP Mangotigome","Primaire",FALSE,FALSE,1.33008733558511,6.73163552637679
"Maritime","Yoto","Yoto 2","Zafi","EPP Yoto Conta","Primaire",FALSE,FALSE,1.33005798483209,6.70038483470682
"Maritime","Yoto","Yoto 2","Zafi","JEP Zafi","Préscolaire",FALSE,FALSE,1.37684560067788,6.62614322145413
"Maritime","Yoto","Yoto 2","Zafi","EPP Hahokpodji","Primaire",FALSE,FALSE,1.31756569679155,6.65748306060622
"Maritime","Golfe","Golfe 3","Bè-Ouest","CS Jean De La Fontaine JE","Préscolaire",FALSE,NA,1.21432007343146,6.1580144429695
"Maritime","Yoto","Yoto 2","Zafi","Lycée De Zafi","Lycée",TRUE,TRUE,1.38183384110532,6.6207154006094
"Maritime","Yoto","Yoto 2","Zafi","CEG Yoto Kope","Collège",FALSE,TRUE,1.31345829538551,6.74033869120644
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Atchame","Primaire",TRUE,TRUE,1.52727166666667,6.67773999999998
"Maritime","Yoto","Yoto 2","Zafi","CEG Methodiste De Zafi","Collège",FALSE,TRUE,1.37413013927599,6.62574201280158
"Maritime","Yoto","Yoto 2","Zafi","CEG Zafi","Collège",TRUE,TRUE,1.38081979633607,6.62087784628527
"Maritime","Yoto","Yoto 2","Zafi","EPC Abandonnee De Zafi","Primaire",FALSE,FALSE,1.36817864213109,6.62680794988472
"Maritime","Yoto","Yoto 2","Zafi","EPP Adikpe","Primaire",FALSE,FALSE,1.34382604741758,6.68149976521346
"Maritime","Zio","Zio 1","Abobo","CPL Yahveh","Collège",FALSE,FALSE,1.28004258573463,6.28965206883791
"Maritime","Yoto","Yoto 2","Zafi","EPP Zafi Gd","Primaire",FALSE,FALSE,1.37718043680173,6.62617577338554
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Assigame 2","Primaire",FALSE,TRUE,1.49860684471904,6.67191735303638
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Klohome","Primaire",TRUE,TRUE,1.51910431010839,6.66924640990393
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Klohome Ga","Primaire",TRUE,TRUE,1.51917279769095,6.66922336117304
"Maritime","Yoto","Yoto 3","Gboto","JEP Gboto Assigame 1","Préscolaire",TRUE,FALSE,1.50458832526755,6.67166308960121
"Maritime","Yoto","Yoto 3","Gboto","Ecole Privee Methodiste","Primaire",FALSE,FALSE,1.50127640101022,6.66337447213008
"Maritime","Yoto","Yoto 3","Gboto","JEP Gboto Atchame","Préscolaire",TRUE,FALSE,1.52716542938496,6.67686707626523
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Djatadevou Zogbe","Primaire",FALSE,FALSE,1.51426734841729,6.66973254086544
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Assigame 1","Primaire",FALSE,FALSE,1.50477096833903,6.67206881465564
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Vodoupe","Primaire",TRUE,TRUE,1.5253977820975,6.67360168010603
"Maritime","Yoto","Yoto 3","Gboto","JEP Gboto Vodoupe","Préscolaire",TRUE,TRUE,1.52559791598117,6.67393084096854
"Maritime","Yoto","Yoto 3","Gboto","JEP Gboto Klohome","Préscolaire",TRUE,FALSE,1.51951497257425,6.66938787801745
"Maritime","Yoto","Yoto 3","Gboto","EPC Gboto Kossidame","Primaire",FALSE,TRUE,1.48030070384862,6.67831718433661
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto Kossidame","Primaire",FALSE,TRUE,1.48347310818679,6.67865665277052
"Maritime","Yoto","Yoto 3","Gboto","CPL La Releve","Collège",FALSE,TRUE,1.48748166666667,6.67982666666666
"Maritime","Yoto","Yoto 3","Gboto","CEG Gboto Assigame","Collège",FALSE,TRUE,1.49788321990921,6.67224870195895
"Plateaux","Agou","Agou 2","Agotimé-Nord","EPP Agotime-glikpo","Primaire",TRUE,TRUE,0.693448668927016,6.63548910378883
"Maritime","Yoto","Yoto 3","Gboto","Lycée Gboto-vodoupe","Lycée",TRUE,TRUE,1.52650065088862,6.66917308229064
"Maritime","Yoto","Yoto 3","Gboto","CEG Gboto-vodoupe","Collège",TRUE,TRUE,1.52778369472615,6.66984693007737
"Maritime","Yoto","Yoto 3","Gboto","EPP Ayanou Kondji","Primaire",FALSE,FALSE,1.49421143914307,6.68200854718565
"Maritime","Yoto","Yoto 3","Gboto","EPE Methodiste Gboto-zeve","Primaire",FALSE,TRUE,1.47730075268489,6.71109516910947
"Maritime","Yoto","Yoto 3","Gboto","EPC Gboto-zeve","Primaire",FALSE,TRUE,1.47508190674287,6.7046213829755
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto-zeve Gb","Primaire",TRUE,FALSE,1.47918323503972,6.71420280445109
"Maritime","Yoto","Yoto 3","Gboto","EPP Gboto-zeve Ga","Primaire",FALSE,FALSE,1.47856632076012,6.70390599650674
"Maritime","Yoto","Yoto 3","Gboto","CEG Gboto-zeve","Collège",FALSE,TRUE,1.47936057498362,6.71229457514611
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Kodehoe Ga","Primaire",TRUE,TRUE,1.54243354284216,6.76169779112091
"Maritime","Golfe","Golfe 3","Bè-Ouest","EPI Daroul Hadis","Primaire",FALSE,NA,1.23054356938829,6.15614511782342
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Kodehoe Gc","Primaire",TRUE,TRUE,1.54205422756561,6.76236680205238
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Kodehoe Gd","Primaire",TRUE,TRUE,1.54100047590345,6.76135149736303
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Kodehoe Gb","Primaire",TRUE,TRUE,1.54275685044023,6.76211843191484
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Agodome Ga","Primaire",TRUE,TRUE,1.5008319037902,6.7598384811297
"Maritime","Zio","Zio 1","Abobo","Complexe Scolaire Victoire Plus College","Collège",FALSE,TRUE,1.29424275184865,6.25643452505109
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Agodome Gb","Primaire",TRUE,TRUE,1.50065333333333,6.75901166666666
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Hognon-kondji","Primaire",FALSE,TRUE,1.49357819234987,6.74398709995566
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Dawohoe Ga","Primaire",TRUE,TRUE,1.54197606466712,6.77408255826737
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Tomety Kondji Ga","Primaire",TRUE,TRUE,1.53372421968253,6.77773822573042
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Dzrekpo Zouvi","Primaire",TRUE,TRUE,1.50066909008666,6.78901242608111
"Maritime","Yoto","Yoto 3","Tométy-Kondji","JEP Dzrekpo Zouvi","Préscolaire",TRUE,FALSE,1.50092290028255,6.78848529553194
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Dawohoe Gb","Primaire",TRUE,TRUE,1.54200578215618,6.77297174428835
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Zouvi","Primaire",TRUE,TRUE,1.51083946101589,6.78261635946259
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Manemakou","Primaire",TRUE,FALSE,1.50711003068049,6.76673568182489
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPC Donomade","Primaire",FALSE,TRUE,1.53133029872758,6.79069425173723
"Maritime","Yoto","Yoto 3","Tométy-Kondji","JEP Dawohoe","Préscolaire",TRUE,FALSE,1.5420540499409,6.77410790780501
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPE Apostolique Alakpadji","Primaire",FALSE,TRUE,1.55140686052506,6.75731933004673
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Ahoagahoe","Primaire",TRUE,FALSE,1.52987030000862,6.77944836232879
"Maritime","Zio","Zio 1","Abobo","Jardin CS Le Prophete","Préscolaire",FALSE,TRUE,1.28657311643938,6.26090757804774
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Atchahoe","Primaire",TRUE,TRUE,1.55628120155945,6.77233955109344
"Maritime","Zio","Zio 1","Abobo","EPL Yahveh","Primaire",FALSE,FALSE,1.27980355647276,6.2896860720031
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Dekandji","Primaire",TRUE,FALSE,1.54419034303106,6.77182300004876
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Tomety Kondji Gb","Primaire",TRUE,TRUE,1.53404060018849,6.77761990757621
"Maritime","Zio","Zio 1","Djagblé","EPL Rabbi","Primaire",FALSE,FALSE,1.26109489395125,6.27540872487431
"Maritime","Yoto","Yoto 3","Tométy-Kondji","CEG Tomety Kondji","Collège",TRUE,TRUE,1.5330803680275,6.77277995013505
"Maritime","Yoto","Yoto 3","Tométy-Kondji","CEG Kodehoe","Collège",TRUE,TRUE,1.54390611251289,6.76641077603933
"Maritime","Yoto","Yoto 3","Tométy-Kondji","CEGIL Zouvi","Collège",FALSE,FALSE,1.51143501372701,6.78139792363475
"Maritime","Zio","Zio 1","Abobo","JEP Aveta","Préscolaire",TRUE,FALSE,1.28790397577251,6.27580191299894
"Maritime","Yoto","Yoto 3","Tométy-Kondji","Lycée Tomety Kondji","Lycée",FALSE,TRUE,1.55096432634004,6.77333002786101
"Maritime","Yoto","Yoto 3","Tométy-Kondji","CEG Agodome","Collège",TRUE,TRUE,1.50095585897241,6.75833210448824
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPP Dzomle Kondji","Primaire",TRUE,TRUE,1.50040722278902,6.7830254201247
"Maritime","Yoto","Yoto 3","Tométy-Kondji","EPm Zouvi","Primaire",FALSE,FALSE,1.51210950518315,6.7804525440675
"Maritime","Zio","Zio 1","Abobo","EPL La Plenitude","Primaire",FALSE,FALSE,1.28387166666667,6.27963499999997
"Maritime","Zio","Zio 1","Abobo","EPE Baptiste Bon Berger","Primaire",FALSE,TRUE,1.30189427490871,6.27989281044873
"Maritime","Zio","Zio 1","Abobo","EPC Lowoe","Préscolaire",FALSE,FALSE,1.28083435757113,6.2814510649281
"Maritime","Zio","Zio 1","Abobo","EPC Lowoe","Primaire",FALSE,TRUE,1.28075538909486,6.28140328133006
"Maritime","Golfe","Golfe 1","Bè-Est","College ITEC Amou Fred","Collège",FALSE,NA,1.26162617228138,6.16473245143898
"Maritime","Zio","Zio 1","Abobo","EPL La Victoire","Primaire",FALSE,TRUE,1.29147203182199,6.27404200150603
"Maritime","Zio","Zio 1","Abobo","EPL JEsus La Vie","Primaire",FALSE,FALSE,1.28525007486711,6.2802156896251
"Maritime","Zio","Zio 1","Abobo","EPL La CITE Des Enfants","Primaire",FALSE,FALSE,1.29314390476584,6.26775676429409
