"region","prefecture","densite_etab_100km2","completude_offre","jardins_100_primaires","toilettes_100_etab","pct_toilettes_ameliorees","pct_batiments_recents","batiments_par_etab","pct_terrain_sport","biblio_100_etab","ens_100_jardins","enseignants_100_etab"
"Maritime","Bas-Mono",-0.0533178225347458,0,-0.944514867096533,1.0309936206198,-0.615810985064183,0.0513188017826839,0.240099379615134,1.11576583092177,0,-1.17043404486461,-1.33473943233715
"Maritime","Golfe",2.5,0,1.33484476797399,0.0688412418983853,2.5,-1.31329479107504,-2.48325892223461,-2.28191431460389,0,-0.556260971843205,-0.344978807127141
"Maritime","Lacs",0.237949454040571,0,0.432598245758578,0.0918868078557849,1.01905221429849,-0.908964837635716,-0.804476407395728,-0.777519792338008,0,-0.763704628385538,-0.67763694257117
"Maritime","Vo",-0.0538243743200942,0,-0.910595824907984,0.328103858919127,0.268723208620845,-0.332794653984676,0.650468438797972,0.460791345037307,0,-0.363967694711267,-0.698171395376357
"Maritime","Yoto",-0.207816117066001,0,-1.62289571086752,-0.622525736823592,0.744541602465205,0.394999262206111,1.24736888851846,2.07775960706458,0,-0.211298486806516,-0.928157266794451
"Maritime","Zio",-0.121195761771428,0,-0.00156549425485649,-0.968209226184581,-0.182694241949445,0.981277694693134,-0.43141362632042,-0.122545306453544,0,-0.548103075237608,-0.591392240789385
"Plateaux","Agou",-0.251379570605961,0,0.134110674499342,-0.68013965171709,0.524933112998577,-1.65697525149847,-0.767170129288197,0.235643865514522,0,-0.537614351030411,-0.336765026005066
"Plateaux","Akébou",-0.283292333082909,0,1.09741147265415,-1.49825724320476,-0.804918295438223,1.23398391559271,1.1727563323034,-1.08453908259635,0,-0.190321038392123,0.328551244882992
"Plateaux","Amou",-0.27974647058547,0,-0.666378721150427,-1.19866488575857,-0.512106976149387,-0.433877142344507,-0.132963401460174,0.859916422373152,0,0.0975361704053839,-0.139634279075272
"Plateaux","Anié",-0.298995438428709,0,-1.80605853868569,-2.11472613256519,-0.152193062856858,1.33506640395254,0.799693551228095,-0.296522904266604,0,-0.0784413135153593,-0.915836595111339
"Plateaux","Danyi",-0.192113011720201,0,0.887113411085141,-1.57315533256631,1.00075150684294,-1.47502677245077,-1.02831407604091,-0.450032549395776,0,-0.711261007349555,-0.344978807127141
"Plateaux","Est-Mono",-0.306593715208934,0,-0.768135847716075,0.449093080195473,-0.45720485378273,1.11268492956091,0.762387273120565,0.133304102095075,0,0.00896472154461254,-0.332658135444029
"Plateaux","Haho",-0.269108883093155,0,-0.815622506780045,-0.956686443205881,0.250422501165292,1.31484990628058,1.84426933823896,0.245877841856467,0,-0.235772176623308,-0.439437290031001
"Plateaux","Kloto",-0.0918157582212225,0,1.01600577140163,-0.461206775121798,0.329725566806019,-1.65697525149847,-0.506026182535482,-1.13570896430607,0,0.867874692733936,1.44151858692413
"Plateaux","Kpélé",-0.256951640244793,0,-0.313620682389512,-0.852981396397585,-0.414503203053108,0.192834285486448,1.28467516662599,0.706406777243981,0,0.360919689386099,0.344978807127141
"Plateaux","Moyen-Mono",-0.234156809904116,0,-0.279701640200962,-0.772321915546687,-1.82365767713063,1.66863861553999,1.24736888851846,0.286813747224246,0,-0.875584353262302,-0.833698783890591
"Plateaux","Ogou",-0.265056468810367,0,-1.4668681168002,-0.201944158101056,0.0979166057023566,-0.31257815631271,1.13545005419587,0.849682446031207,0,0.196596343473352,-0.546216444617974
"Plateaux","Wawa",-0.2392223277576,0,-0.985217717722793,-1.58467811554501,0.7079401875541,-0.585500874884254,-0.953701519825851,-0.900327508441345,0,-0.0259976924793762,-0.410689056103739
"Savanes","Cinkassé",-0.0274836814819786,0,0.636112498889875,1.99314599934122,-0.133892355401306,-0.403552395836558,1.1727563323034,-1.94419309531971,0,0.0357692389630037,0.423009727786852
"Savanes","Kpendjal",-0.324829579481476,0,-0.686730146463556,1.12893727593875,-1.65895131003066,-0.241820414460827,-0.580638738750543,-1.04360317722857,0,2.5,2.5
"Savanes","Kpendjal-Ouest",-0.251379570605961,0,0.575058222950485,2.29273835678741,-1.48814470711218,0.132184792470549,0.463937048260319,-0.746817863312173,0,-2.25077263820586,-2.16433132566671
"Savanes","Oti",-0.29848888664336,0,-0.00156549425485649,1.10589170998135,1.97068900198721,0.556731243581841,0.836999829335627,-0.26582097524077,0,0.301483585545318,0.37783393161544
"Savanes","Oti-Sud",-0.327868890193566,0,-1.66359856149378,1.67626946742698,1.61077508869468,0.859978708661336,0.501243326367849,-0.971965342834958,0,-0.470020350584033,-0.989760625210012
"Savanes","Tandjoaré",-0.17995576887184,0,2.5,0.443331688706123,-0.548708391060491,0.789220966809454,-0.43141362632042,-0.920795461125234,0,-0.497990281803224,0.303909901516767
"Savanes","Tône",-0.112584381420506,0,0.357976352943769,0.702594305726865,-1.23193480273444,-0.211495667952878,1.43390027905612,-1.05383715357052,0,0.427348276031678,0.694064504815319
