"region","prefecture","commune","deficit_couverture","deficit_infrastructures","deficit_enseignants","deficit_resultats","contrib_couverture","contrib_infrastructures","contrib_enseignants","contrib_resultats","ispe","rang","niveau_priorite","classe","silhouette"
"Kara","Dankpen","Dankpen 3",54.8,53.4,49.5,59.9,30.5,29.8,23,16.7,53.8,67,"À surveiller",2,0.181
"Kara","Doufelgou","Doufelgou 1",51.3,77.3,51.1,79.6,24.3,36.6,20.2,18.9,63.3,19,"Très prioritaire",2,0.376
"Kara","Doufelgou","Doufelgou 2",50.8,47.9,48.7,57.2,30.3,28.5,24.2,17,50.4,77,"Modéré",2,0.288
"Kara","Doufelgou","Doufelgou 3",56.4,36.5,51.5,54,34.6,22.4,26.4,16.6,48.8,84,"Modéré",2,0.183
"Kara","Kozah","Kozah 1",45.1,39.8,42.1,52.1,30.9,27.3,24,17.8,43.8,106,"Satisfaisant",2,0.198
"Kara","Kozah","Kozah 2",50.7,61.7,41.3,81.7,27,32.9,18.3,21.8,56.3,51,"À surveiller",2,0.258
"Kara","Kozah","Kozah 3",49.1,70.8,41.5,73.5,25.7,37,18.1,19.2,57.4,46,"Prioritaire",2,0.315
"Kara","Kozah","Kozah 4",47.9,72.8,36,61.5,26.4,40.1,16.5,16.9,54.4,63,"À surveiller",2,0.283
"Kara","Kéran","Kéran 1",55.7,53.4,61.3,58.2,29.4,28.2,27,15.4,56.8,49,"À surveiller",2,0.072
"Kara","Kéran","Kéran 2",62.3,61.9,61.9,58.7,30.4,30.2,25.1,14.3,61.5,29,"Prioritaire",2,-0.03
"Kara","Kéran","Kéran 3",58,51.7,60.5,77.9,29.1,26,25.3,19.6,59.7,36,"Prioritaire",2,0.239
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1",18.1,84.7,56.8,71.8,9.7,45.5,25.4,19.3,55.8,53,"À surveiller",3,0.516
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2",21.5,59.8,54.5,47.8,14.3,39.7,30.2,15.9,45.2,99,"Satisfaisant",3,0.454
"Maritime","Agoè-Nyivé","Agoè-Nyivé 3",0,88.5,51.1,58.9,0,55.1,26.5,18.3,48.2,88,"Modéré",3,0.527
"Maritime","Agoè-Nyivé","Agoè-Nyivé 4",38.9,82.3,59.7,54.2,19.6,41.6,25.1,13.7,59.4,37,"Prioritaire",3,0.329
"Maritime","Agoè-Nyivé","Agoè-Nyivé 5",24.9,52.5,55.5,38.1,17.4,36.8,32.4,13.3,42.8,109,"Satisfaisant",3,0.344
"Maritime","Agoè-Nyivé","Agoè-Nyivé 6",31.9,67,54.7,44.8,19.1,40.1,27.3,13.4,50.1,79,"Modéré",3,0.329
"Maritime","Avé","Avé 1",64.4,69.1,68.7,71.6,28.4,30.5,25.3,15.8,68,10,"Très prioritaire",1,0.099
"Maritime","Avé","Avé 2",54.7,61.1,68,69.3,26.4,29.5,27.4,16.7,62.1,24,"Très prioritaire",2,0.01
"Maritime","Bas-Mono","Bas-Mono 1",62.3,45.8,78,65.3,30.3,22.3,31.6,15.9,61.7,27,"Prioritaire",1,0.119
"Maritime","Bas-Mono","Bas-Mono 2",70.7,28.7,80.3,54.3,36.5,14.8,34.6,14,58,43,"Prioritaire",4,-0.076
"Maritime","Golfe","Golfe 1",16.3,100,62.6,85.4,7.7,47.4,24.7,20.2,63.4,18,"Très prioritaire",3,0.544
"Maritime","Golfe","Golfe 2",10.2,87,60.2,77.4,5.5,46.8,27,20.8,55.8,53,"À surveiller",3,0.477
"Maritime","Golfe","Golfe 3",15.3,72.3,60.8,74.2,8.7,41.2,28.9,21.2,52.6,70,"À surveiller",3,0.315
"Maritime","Golfe","Golfe 4",8.1,86.3,60,89.2,4.3,45.7,26.5,23.6,56.7,50,"À surveiller",3,0.421
"Maritime","Golfe","Golfe 5",20.5,72,63.9,71.7,11.3,39.6,29.3,19.7,54.5,62,"À surveiller",3,0.413
"Maritime","Golfe","Golfe 6",15.2,80.2,61.3,66.4,8.5,44.6,28.4,18.5,53.9,65,"À surveiller",3,0.561
"Maritime","Golfe","Golfe 7",2.2,68.8,59.5,55.1,1.5,46.4,33.5,18.6,44.4,102,"Satisfaisant",3,0.541
"Maritime","Lacs","Lacs 1",47.2,53.5,67,73.8,24.4,27.7,28.9,19.1,58,43,"Prioritaire",4,-0.003
"Maritime","Lacs","Lacs 2",67,81.8,70.6,88,26.6,32.5,23.4,17.5,75.5,3,"Très prioritaire",2,0.125
"Maritime","Lacs","Lacs 3",32,78.9,65.1,69.6,16,39.5,27.1,17.4,60,33,"Prioritaire",3,0.278
"Maritime","Lacs","Lacs 4",65.8,34.1,70.5,69.4,34,17.6,30.4,17.9,58,43,"Prioritaire",1,0.132
"Maritime","Vo","Vo 1",59.8,25.4,60.7,52.1,37,15.7,31.3,16.1,48.5,86,"Modéré",4,-0.041
"Maritime","Vo","Vo 2",70.6,46.2,65.4,70.8,34.2,22.4,26.4,17.1,62,25,"Prioritaire",2,0.052
"Maritime","Vo","Vo 3",66.9,49.5,62.8,55.9,34,25.2,26.6,14.2,59,39,"Prioritaire",1,0.295
"Maritime","Vo","Vo 4",71.8,61.5,65.4,73.4,32,27.4,24.3,16.3,67.3,12,"Très prioritaire",1,0.092
"Maritime","Yoto","Yoto 1",68.1,36.6,60.7,64,36.4,19.5,27,17.1,56.2,52,"À surveiller",1,0.301
"Maritime","Yoto","Yoto 2",76.9,31.8,64.3,67.8,39.2,16.2,27.3,17.3,58.9,40,"Prioritaire",1,0.286
"Maritime","Yoto","Yoto 3",79.3,0,66.9,56.8,48.5,0,34.1,17.4,49,83,"Modéré",1,0.375
"Maritime","Zio","Zio 1",53.5,64,63,65.7,26.4,31.6,25.9,16.2,60.9,31,"Prioritaire",2,0.203
"Maritime","Zio","Zio 2",52.4,75.7,62.8,59.1,25,36.1,24.9,14.1,63,20,"Très prioritaire",2,0.092
"Maritime","Zio","Zio 3",64.3,54.3,65.7,70.7,30.8,26,26.2,16.9,62.6,22,"Très prioritaire",1,0.363
"Maritime","Zio","Zio 4",69.3,71,67,72.8,29.8,30.5,24,15.7,69.8,8,"Très prioritaire",1,0.346
"Plateaux","Agou","Agou 1",54.4,78.8,60.4,92.6,23.7,34.3,21.9,20.1,68.9,9,"Très prioritaire",2,0.346
"Plateaux","Agou","Agou 2",61.3,68.1,61.8,75.6,28,31.1,23.5,17.3,65.6,13,"Très prioritaire",2,0.224
"Plateaux","Akébou","Akébou 1",46.3,76.1,49.7,68.7,23.4,38.4,20.9,17.3,59.4,37,"Prioritaire",2,0.067
"Plateaux","Akébou","Akébou 2",50,46.8,49.7,55.2,30.2,28.2,25,16.6,49.7,81,"Modéré",1,0.127
"Plateaux","Amou","Amou 1",49.9,77.6,44,75.1,24.7,38.5,18.2,18.6,60.5,32,"Prioritaire",2,0.397
"Plateaux","Amou","Amou 2",59.6,64.2,47.3,72.9,29.8,32.2,19.7,18.3,59.9,34,"Prioritaire",2,-0.019
"Plateaux","Amou","Amou 3",75.1,67,58.2,70.6,33.2,29.7,21.5,15.6,67.8,11,"Très prioritaire",1,0.23
"Plateaux","Anié","Anié 1",69.1,63.8,58,69.8,32,29.5,22.4,16.1,64.8,15,"Très prioritaire",1,0.252
"Plateaux","Anié","Anié 2",84.4,63.6,67.2,68.5,35.4,26.7,23.5,14.4,71.5,5,"Très prioritaire",1,0.356
"Plateaux","Danyi","Danyi 1",51.5,84.6,64.4,95.3,21.7,35.6,22.6,20.1,71.2,6,"Très prioritaire",2,0.345
"Plateaux","Danyi","Danyi 2",47,86.7,61.7,100,20,36.9,21.9,21.3,70.5,7,"Très prioritaire",2,0.177
"Plateaux","Est-Mono","Est-Mono 1",66.4,40.6,53.9,46.8,37.9,23.2,25.6,13.3,52.6,70,"À surveiller",1,0.347
"Plateaux","Est-Mono","Est-Mono 2",68.2,41.7,56.1,38.5,38.8,23.7,26.6,10.9,52.8,69,"À surveiller",1,0.211
"Plateaux","Est-Mono","Est-Mono 3",57.4,23,49.5,32.1,41.7,16.7,30,11.7,41.3,111,"Satisfaisant",4,0.048
"Plateaux","Haho","Haho 1",65,39.1,58.5,59.6,35.6,21.4,26.7,16.3,54.8,61,"À surveiller",1,0.37
"Plateaux","Haho","Haho 2",64.7,26.7,57.3,53.6,39,16.1,28.8,16.1,49.8,80,"Modéré",1,0.443
"Plateaux","Haho","Haho 3",100,45.1,59.2,94.8,41.4,18.6,20.4,19.6,72.6,4,"Très prioritaire",1,0.422
"Plateaux","Haho","Haho 4",68.3,32.2,59.3,59.7,38,17.9,27.5,16.6,53.9,65,"À surveiller",1,0.324
"Plateaux","Kloto","Kloto 1",45.2,88,25.3,63.7,24.3,47.3,11.3,17.1,55.8,53,"À surveiller",2,0.247
"Plateaux","Kloto","Kloto 2",55.8,68.6,28.4,69.7,30.5,37.5,12.9,19.1,54.9,60,"À surveiller",2,0.274
"Plateaux","Kloto","Kloto 3",40.2,86,21.2,50.1,23.8,50.9,10.5,14.8,50.7,76,"Modéré",2,0.226
"Plateaux","Kpélé","Kpélé 1",59.4,38.6,41.5,50.2,37.7,24.5,21.9,15.9,47.3,93,"Modéré",1,0.321
"Plateaux","Kpélé","Kpélé 2",64.7,66.4,45.7,74.8,31.3,32.1,18.4,18.1,62,25,"Prioritaire",2,0.02
"Plateaux","Moyen-Mono","Moyen-Mono 1",61.8,54.4,70.1,60.9,30.1,26.5,28.5,14.8,61.5,29,"Prioritaire",1,0.288
"Plateaux","Moyen-Mono","Moyen-Mono 2",59.9,48.9,70.3,63.8,30.1,24.5,29.4,16,59.8,35,"Prioritaire",1,0.318
"Plateaux","Ogou","Ogou 1",64.6,50.7,49.2,59.4,34.7,27.3,22,16,55.8,53,"À surveiller",2,0.02
"Plateaux","Ogou","Ogou 2",80.1,47.3,59.6,71.9,37.6,22.2,23.3,16.9,63.9,16,"Très prioritaire",1,0.205
"Plateaux","Ogou","Ogou 3",78.1,25.4,58.8,55.7,43.3,14.1,27.2,15.4,54.1,64,"À surveiller",1,0.389
"Plateaux","Ogou","Ogou 4",84.8,32.7,64.7,38.1,44.5,17.2,28.3,10,57.1,48,"À surveiller",1,0.355
"Plateaux","Wawa","Wawa 1",71.3,90.4,57.7,90.8,27.9,35.4,18.8,17.8,76.6,1,"Très prioritaire",2,0.136
"Plateaux","Wawa","Wawa 2",75.7,90,60.6,75.8,29.8,35.4,19.9,14.9,76.2,2,"Très prioritaire",1,0.114
"Plateaux","Wawa","Wawa 3",55.6,77.5,49.7,70.4,26.5,37,19.7,16.8,62.9,21,"Très prioritaire",2,0.27
"Savanes","Cinkassé","Cinkassé 1",55.2,36.5,49.7,26.4,37.7,24.9,28.3,9,43.9,104,"Satisfaisant",4,0.247
"Savanes","Cinkassé","Cinkassé 2",42.7,57.8,41.3,46.4,27,36.6,21.8,14.7,47.4,91,"Modéré",4,0.261
"Savanes","Kpendjal","Kpendjal 1",62.3,85.8,0,15.2,40,55.1,0,4.9,46.7,95,"Satisfaisant",4,0.09
"Savanes","Kpendjal","Kpendjal 2",71.8,53.1,0,11.2,55,40.7,0,4.3,39.1,114,"Satisfaisant",4,0.002
"Savanes","Kpendjal-Ouest","Kpendjal-Ouest 1",53.4,41.1,100,59.4,25.7,19.8,40.2,14.3,62.3,23,"Très prioritaire",4,0.174
"Savanes","Kpendjal-Ouest","Kpendjal-Ouest 2",52.1,52.4,100,61.2,23.9,24,38.2,14,65.5,14,"Très prioritaire",4,0.107
"Savanes","Oti","Oti 1",64.7,32.6,48.8,45.3,40.3,20.3,25.3,14.1,48.2,88,"Modéré",4,0.095
"Savanes","Oti","Oti 2",54.9,13.2,39.9,28.5,47.5,11.4,28.8,12.3,34.7,116,"Satisfaisant",4,0.036
"Savanes","Oti-Sud","Oti-Sud 1",73.4,33,66.1,44.6,39.9,18,30,12.1,55.1,58,"À surveiller",1,0.112
"Savanes","Oti-Sud","Oti-Sud 2",78.5,14.8,69.1,23.6,48.3,9.1,35.4,7.3,48.8,84,"Modéré",4,0.163
"Savanes","Tandjoaré","Tandjoaré 1",38,63.3,55.5,54.5,21.7,36.2,26.5,15.6,52.4,73,"Modéré",2,0.167
"Savanes","Tandjoaré","Tandjoaré 2",28.5,59,51.6,46.3,18.5,38.4,28,15.1,46.1,97,"Satisfaisant",2,0.156
"Savanes","Tône","Tône 1",55.8,56.5,41.4,42.2,33.2,33.7,20.5,12.6,50.4,77,"Modéré",4,0.198
"Savanes","Tône","Tône 2",45.2,67.6,31.8,44.5,28,41.8,16.4,13.8,48.5,86,"Modéré",2,0.088
"Savanes","Tône","Tône 3",44.2,58.4,32,46.4,29,38.3,17.5,15.2,45.7,98,"Satisfaisant",4,0.022
"Savanes","Tône","Tône 4",62.1,48.1,41.8,41,37.5,29.1,21,12.4,49.7,81,"Modéré",4,0.151
