"region","prefecture","commune","nb_etab","nb_prescolaire","nb_primaire","nb_college","nb_lycee","pct_public","pct_terrain_sport","completude_offre","nb_creches","nb_toilettes","nb_batiments","nb_terrains_sport","nb_bibliotheques","pct_toilettes_ameliorees","pct_batiments_recents","toilettes_100_etab","batiments_par_etab","biblio_100_etab","jardins_100_primaires","enseignants_prescolaire","superficie_km2","densite_etab_100km2","ens_100_jardins","enseignants_100_etab"
"Kara","Assoli","Assoli 1",73,19,38,12,4,19.2,34.2,100,0,53,138,25,0,35.8,41,72.6,1.89,0,50,43.4,374.4,19.5,228.4,59.5
"Kara","Assoli","Assoli 2",27,9,11,5,2,59.3,48.1,100,0,18,50,11,0,55.6,27.8,66.7,1.85,0,81.8,20.6,224.8,12,228.9,76.3
"Kara","Assoli","Assoli 3",30,7,20,2,1,86.7,46.7,100,0,29,55,13,0,37.9,56.2,96.7,1.83,0,35,16,220.9,13.6,228.6,53.3
"Kara","Bassar","Bassar 1",123,41,65,15,2,87.8,35,100,0,79,210,42,0,82.3,51.4,64.2,1.71,0,63.1,71.3,1539.8,8,173.9,58
"Kara","Bassar","Bassar 2",112,39,61,10,2,86.6,37.5,100,0,66,164,46,0,42.4,72.3,58.9,1.46,0,63.9,67.8,980.7,11.4,173.8,60.5
"Kara","Bassar","Bassar 3",70,17,45,7,1,77.1,40.6,100,0,42,130,26,0,23.8,58.8,60,1.86,0,37.8,29.6,516.6,13.6,174.1,42.3
"Kara","Bassar","Bassar 4",34,10,20,2,2,91.2,47.1,100,0,18,60,16,0,22.2,58.7,52.9,1.76,0,50,17.4,284.1,12,174,51.2
"Kara","Binah","Binah 1",139,52,68,14,5,84.9,39.6,100,0,94,218,57,0,40.4,50.6,67.6,1.57,0,76.5,108.2,389.8,35.7,208.1,77.8
"Kara","Binah","Binah 2",69,23,34,6,6,82.6,45.6,100,0,48,128,22,0,50,62.1,69.6,1.86,0,67.6,47.8,164.8,41.9,207.8,69.3
"Kara","Dankpen","Dankpen 1",120,41,62,13,4,64.2,37.5,100,0,68,195,35,0,22.1,65.3,56.7,1.62,0,66.1,74.1,677.4,17.7,180.7,61.7
"Kara","Dankpen","Dankpen 2",55,12,36,6,1,74.5,49.1,100,0,39,109,21,0,33.3,63,70.9,1.98,0,33.3,21.7,561.2,9.8,180.8,39.5
"Kara","Dankpen","Dankpen 3",154,51,90,11,2,69.5,51.3,100,0,81,241,68,0,43.2,66.2,52.6,1.56,0,56.7,92.2,1426,10.8,180.8,59.9
"Kara","Doufelgou","Doufelgou 1",111,35,57,12,7,78.4,42.7,100,0,71,193,36,0,32.4,36.8,64,1.74,0,61.4,62.9,487.4,22.8,179.7,56.7
"Kara","Doufelgou","Doufelgou 2",29,10,16,2,1,79.3,41.4,100,0,23,52,9,0,52.2,50,79.3,1.79,0,62.5,18,179.7,16.1,180,62.1
"Kara","Doufelgou","Doufelgou 3",61,19,35,5,2,83.6,45,100,0,46,115,19,0,56.5,56.4,75.4,1.89,0,54.3,34.1,505.2,12.1,179.5,55.9
"Kara","Kozah","Kozah 1",313,93,142,49,29,57.8,38,100,0,253,606,117,0,67.2,47.3,80.8,1.94,0,65.5,203.3,261.9,119.5,218.6,65
"Kara","Kozah","Kozah 2",111,34,55,16,6,61.3,46.8,100,0,76,226,67,0,51.3,24.2,68.5,2.04,0,61.8,74.3,376.5,29.5,218.5,66.9
"Kara","Kozah","Kozah 3",59,18,28,9,4,57.6,49.2,100,0,35,111,19,0,25.7,39.7,59.3,1.88,0,64.3,39.3,204,28.9,218.3,66.6
"Kara","Kozah","Kozah 4",61,22,33,4,2,26.2,45.9,100,0,42,113,23,0,9.5,45.7,68.9,1.85,0,66.7,48.1,348.3,17.5,218.6,78.9
"Kara","Kéran","Kéran 1",87,26,47,9,5,72.4,40.2,100,0,65,169,29,0,26.2,58.4,74.7,1.94,0,55.3,38.1,757.8,11.5,146.5,43.8
"Kara","Kéran","Kéran 2",69,20,44,4,1,85.5,42,100,0,48,119,26,0,20.8,61.6,69.6,1.72,0,45.5,29.3,669.8,10.3,146.5,42.5
"Kara","Kéran","Kéran 3",45,14,27,3,1,80,42.2,100,0,33,86,14,0,60.6,38.2,73.3,1.91,0,51.9,20.5,340.4,13.2,146.4,45.6
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1",478,127,208,106,37,15.1,11.6,100,1,328,631,25,0,83.8,43.3,68.6,1.32,0,61.1,219.4,43.1,1109,172.8,45.9
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2",159,47,64,38,10,10.7,14.5,100,0,82,219,6,0,84.1,81.4,51.6,1.38,0,73.4,81.2,25,636,172.8,51.1
"Maritime","Agoè-Nyivé","Agoè-Nyivé 3",88,30,34,19,5,10.2,8,100,1,55,95,2,0,76.4,61.6,62.5,1.08,0,88.2,51.8,6.4,1375,172.7,58.9
"Maritime","Agoè-Nyivé","Agoè-Nyivé 4",206,47,92,47,20,14.1,11.2,100,0,105,266,8,0,61.9,74.9,51,1.29,0,51.1,81.2,36.5,564.4,172.8,39.4
"Maritime","Agoè-Nyivé","Agoè-Nyivé 5",219,62,94,50,13,11.4,17.6,100,1,123,316,17,0,73.2,88.6,56.2,1.44,0,66,107.1,32.3,678,172.7,48.9
"Maritime","Agoè-Nyivé","Agoè-Nyivé 6",208,61,85,48,14,10.6,16.8,100,0,108,255,8,0,70.4,84.5,51.9,1.23,0,71.8,105.4,55.8,372.8,172.8,50.7
"Maritime","Avé","Avé 1",198,48,115,29,6,22.7,36.9,100,0,124,383,61,0,19.4,55.5,62.6,1.93,0,41.7,63,787.4,25.1,131.2,31.8
"Maritime","Avé","Avé 2",114,29,53,23,9,28.1,41.6,100,0,53,197,18,0,35.8,69.6,46.5,1.73,0,54.7,38,213.1,53.5,131,33.3
"Maritime","Bas-Mono","Bas-Mono 1",139,34,81,19,5,72.7,41.7,100,0,106,270,54,0,34.9,59.6,76.3,1.94,0,42,31.5,181.1,76.8,92.6,22.7
"Maritime","Bas-Mono","Bas-Mono 2",113,21,68,21,3,63.7,47.8,100,0,110,235,44,0,30.9,56.3,97.3,2.08,0,30.9,19.5,228.6,49.4,92.9,17.3
"Maritime","Golfe","Golfe 1",697,198,310,146,43,13.3,6.2,100,6,412,864,16,0,83,40.4,59.1,1.24,0,63.9,287.8,63.7,1094.2,145.4,41.3
"Maritime","Golfe","Golfe 2",286,92,126,49,19,15.7,10.9,100,0,243,345,19,0,88.9,30.5,85,1.21,0,73,133.7,18.3,1562.8,145.3,46.7
"Maritime","Golfe","Golfe 3",167,52,75,26,14,37.1,14.8,100,0,164,266,28,0,81.7,24.5,98.2,1.59,0,69.3,75.6,18.8,888.3,145.4,45.3
"Maritime","Golfe","Golfe 4",207,67,88,37,15,20.3,11.7,100,4,164,309,11,0,90.9,15.6,79.2,1.49,0,76.1,97.4,12.2,1696.7,145.4,47.1
"Maritime","Golfe","Golfe 5",201,53,92,44,12,10.9,20,100,6,177,262,22,0,87.6,34.4,88.1,1.3,0,57.6,77,19.5,1030.8,145.3,38.3
"Maritime","Golfe","Golfe 6",372,113,163,77,19,14.2,9.5,100,1,213,472,18,0,82.6,62.3,57.3,1.27,0,69.3,164.3,41.8,890,145.4,44.2
"Maritime","Golfe","Golfe 7",473,157,185,110,21,11.6,15.8,100,13,285,532,31,0,84.9,72.4,60.3,1.12,0,84.9,228.2,47.7,991.6,145.4,48.2
"Maritime","Lacs","Lacs 1",87,25,42,12,8,27.6,25.3,100,0,84,169,21,0,72.6,29.3,96.6,1.94,0,59.5,31.9,50.7,171.6,127.6,36.7
"Maritime","Lacs","Lacs 2",58,13,35,8,2,81,41.4,100,0,37,104,22,0,21.6,37.5,63.8,1.79,0,37.1,16.6,150.3,38.6,127.7,28.6
"Maritime","Lacs","Lacs 3",218,70,93,38,17,19.7,14.5,100,0,126,314,13,0,65.9,61.8,57.8,1.44,0,75.3,89.3,72.1,302.4,127.6,41
"Maritime","Lacs","Lacs 4",84,19,52,10,3,57.1,46.2,100,0,63,182,33,0,52.4,49.6,75,2.17,0,36.5,24.2,101.3,82.9,127.4,28.8
"Maritime","Vo","Vo 1",181,45,101,28,7,64.1,40.3,100,0,154,431,53,0,47.4,54.7,85.1,2.38,0,44.6,72.9,181.7,99.6,162,40.3
"Maritime","Vo","Vo 2",49,9,29,7,4,51,34.7,100,0,35,89,17,0,82.9,44.3,71.4,1.82,0,31,14.6,97.8,50.1,162.2,29.8
"Maritime","Vo","Vo 3",154,34,94,20,6,51.9,39.6,100,0,98,293,51,0,37.8,66.1,63.6,1.9,0,36.2,55,272.1,56.6,161.8,35.7
"Maritime","Vo","Vo 4",92,17,57,13,5,38,32.6,100,0,63,193,30,0,42.9,43.6,68.5,2.1,0,29.8,27.5,223.5,41.2,161.8,29.9
"Maritime","Yoto","Yoto 1",168,35,99,24,10,45.8,44,100,0,92,359,63,0,57.6,61.2,54.8,2.14,0,35.4,61.2,426.3,39.4,174.9,36.4
"Maritime","Yoto","Yoto 2",87,14,61,9,3,50.6,56.3,100,0,55,195,36,0,45.5,51.1,63.2,2.24,0,23,24.5,353.3,24.6,175,28.2
"Maritime","Yoto","Yoto 3",117,15,78,21,3,68.4,65.8,100,0,65,291,65,0,60,68.5,55.6,2.49,0,19.2,26.2,418.8,27.9,174.7,22.4
"Maritime","Zio","Zio 1",623,171,309,104,39,36.6,32.1,100,0,348,1027,74,0,50,63.9,55.9,1.65,0,55.3,249.9,820.9,75.9,146.1,40.1
"Maritime","Zio","Zio 2",144,40,70,27,7,31.9,27.8,100,0,72,225,24,0,29.2,75.3,50,1.56,0,57.1,58.5,204.7,70.3,146.2,40.6
"Maritime","Zio","Zio 3",168,39,93,28,8,73.8,39.3,100,0,67,425,48,0,9,70,39.9,2.53,0,41.9,57,698.1,24.1,146.2,33.9
"Maritime","Zio","Zio 4",99,21,61,14,3,63.6,28.6,100,0,40,209,14,0,25,67.3,40.4,2.11,0,34.4,30.7,425.9,23.2,146.2,31
"Plateaux","Agou","Agou 1",142,44,78,16,4,66.9,31.7,100,0,80,260,43,0,55,34.4,56.3,1.83,0,56.4,64.7,491.6,28.9,147,45.6
"Plateaux","Agou","Agou 2",76,22,47,5,2,61.8,43.4,100,0,42,118,35,0,45.2,53.5,55.3,1.55,0,46.8,32.3,480.3,15.8,146.8,42.5
"Plateaux","Akébou","Akébou 1",134,46,67,18,3,85.1,18.7,100,0,54,300,20,0,25.9,66.2,40.3,2.24,0,68.7,81.3,548.2,24.4,176.7,60.7
"Plateaux","Akébou","Akébou 2",67,23,36,6,2,82.1,31.3,100,0,30,153,17,0,36.7,77.5,44.8,2.28,0,63.9,40.7,698.9,9.6,177,60.7
"Plateaux","Amou","Amou 1",58,19,30,7,2,62.1,37.9,100,0,34,107,20,0,32.4,41.6,58.6,1.84,0,63.3,38.3,224.5,25.8,201.6,66
"Plateaux","Amou","Amou 2",93,27,55,10,1,53.8,43,100,0,35,180,32,0,40,59,37.6,1.94,0,49.1,54.4,446.2,20.8,201.5,58.5
"Plateaux","Amou","Amou 3",119,20,76,21,2,44.5,42.9,100,0,58,227,40,0,32.8,53.5,48.7,1.91,0,26.3,40.3,937.7,12.7,201.5,33.9
"Plateaux","Anié","Anié 1",158,33,95,23,7,45.6,31.8,100,0,57,319,42,0,45.6,66.3,36.1,2.02,0,34.7,61.5,687.4,23,186.4,38.9
"Plateaux","Anié","Anié 2",112,11,87,12,2,65.2,28.8,100,0,27,261,30,0,29.6,76.3,24.1,2.33,0,12.6,20.5,1387.5,8.1,186.4,18.3
"Plateaux","Danyi","Danyi 1",77,24,40,10,3,68.8,31.2,100,0,36,135,15,0,50,41,46.8,1.75,0,60,31.7,183,42.1,132.1,41.2
"Plateaux","Danyi","Danyi 2",81,29,43,7,2,81.5,27.2,100,0,28,128,12,0,71.4,44.7,34.6,1.58,0,67.4,38.3,280,28.9,132.1,47.3
"Plateaux","Est-Mono","Est-Mono 1",93,22,56,13,2,41.9,38.7,100,0,65,206,36,0,30.8,65.4,69.9,2.22,0,39.3,42.7,792.3,11.7,194.1,45.9
"Plateaux","Est-Mono","Est-Mono 2",156,33,90,28,5,57.7,30.8,100,0,118,331,36,0,34.7,70.4,75.6,2.12,0,36.7,64,1505.1,10.4,193.9,41
"Plateaux","Est-Mono","Est-Mono 3",38,11,21,4,2,55.3,42.1,100,0,34,77,15,0,47.1,67.3,89.5,2.03,0,52.4,21.3,209.5,18.1,193.6,56.1
"Plateaux","Haho","Haho 1",218,53,130,27,8,52.8,35,100,0,123,504,75,0,49.6,65.2,56.4,2.31,0,40.8,91.6,940.5,23.2,172.8,42
"Plateaux","Haho","Haho 2",135,35,84,13,3,62.2,33.6,100,0,68,383,43,0,38.2,76,50.4,2.84,0,41.7,60.5,836.7,16.1,172.9,44.8
"Plateaux","Haho","Haho 3",77,18,53,6,0,68.8,43.7,75,0,36,189,26,0,16.7,70.2,46.8,2.45,0,34,31.1,386.2,19.9,172.8,40.4
"Plateaux","Haho","Haho 4",146,34,94,16,2,46.6,35.6,100,0,68,326,54,0,67.6,72.1,46.6,2.23,0,36.2,58.8,890.4,16.4,172.9,40.3
"Plateaux","Kloto","Kloto 1",201,66,97,27,11,52.2,16.7,100,2,126,356,29,0,53.2,38.7,62.7,1.77,0,68,176.6,293.1,68.6,267.6,87.9
"Plateaux","Kloto","Kloto 2",66,20,37,8,1,77.3,39.4,100,0,31,124,23,0,54.8,43.6,47,1.88,0,54.1,53.5,202.4,32.6,267.5,81.1
"Plateaux","Kloto","Kloto 3",44,16,21,6,1,50,22.7,100,0,29,80,5,0,20.7,51.2,65.9,1.82,0,76.2,42.8,80.8,54.5,267.5,97.3
"Plateaux","Kpélé","Kpélé 1",121,35,71,12,3,61.2,40.5,100,0,66,289,39,0,34.8,67.3,54.5,2.39,0,49.3,78.4,581.1,20.8,224,64.8
"Plateaux","Kpélé","Kpélé 2",77,19,46,9,3,83.1,40.3,100,0,39,163,22,0,38.5,43.4,50.6,2.12,0,41.3,42.6,347.7,22.1,224.2,55.3
"Plateaux","Moyen-Mono","Moyen-Mono 1",98,27,59,9,3,75.5,37.8,100,0,57,218,37,0,7,72.6,58.2,2.22,0,45.8,31.9,467.9,20.9,118.1,32.6
"Plateaux","Moyen-Mono","Moyen-Mono 2",84,23,48,11,2,67.9,34.5,100,0,42,196,28,0,21.4,75.4,50,2.33,0,47.9,27.1,241.7,34.8,117.8,32.3
"Plateaux","Ogou","Ogou 1",191,47,116,21,7,47.1,29.3,100,0,130,400,48,0,60.8,50.2,68.1,2.09,0,40.5,98.7,480.7,39.7,210,51.7
"Plateaux","Ogou","Ogou 2",67,9,48,7,3,49.3,64.2,100,0,39,150,41,0,17.9,43.7,58.2,2.24,0,18.8,18.9,525.9,12.7,210,28.2
"Plateaux","Ogou","Ogou 3",77,11,51,13,2,53.2,55.8,100,0,45,194,39,0,31.1,61.1,58.4,2.52,0,21.6,23.1,457,16.8,210,30
"Plateaux","Ogou","Ogou 4",38,3,25,9,1,39.5,36.8,100,0,26,92,12,0,26.9,73,68.4,2.42,0,12,6.3,426.2,8.9,210,16.6
"Plateaux","Wawa","Wawa 1",134,27,87,17,3,49.3,29.1,100,0,51,210,40,0,62.7,41.3,38.1,1.57,0,31,51.5,413.3,32.4,190.7,38.4
"Plateaux","Wawa","Wawa 2",66,11,44,10,1,36.4,16.7,100,0,21,117,15,0,47.6,62,31.8,1.77,0,25,21,340.9,19.4,190.9,31.8
"Plateaux","Wawa","Wawa 3",95,28,51,12,4,52.6,24.2,100,0,47,170,10,0,48.9,55.1,49.5,1.79,0,54.9,53.5,434,21.9,191.1,56.3
"Savanes","Cinkassé","Cinkassé 1",93,26,51,13,3,43,15.1,100,0,92,195,24,0,54.3,66.3,98.9,2.1,0,51,51,86.4,107.6,196.2,54.8
"Savanes","Cinkassé","Cinkassé 2",72,27,37,5,3,75,13.9,100,0,77,177,16,0,24.7,38.9,106.9,2.46,0,73,53,162.1,44.4,196.3,73.6
"Savanes","Kpendjal","Kpendjal 1",58,16,35,5,2,67.2,20.7,100,0,54,93,11,0,13,48.3,93.1,1.6,0,45.7,93.1,689.5,8.4,581.9,160.5
"Savanes","Kpendjal","Kpendjal 2",29,6,19,2,2,72.4,28.6,100,0,22,62,2,0,22.7,65,75.9,2.14,0,31.6,34.9,409,7.1,581.7,120.3
"Savanes","Kpendjal-Ouest","Kpendjal-Ouest 1",65,21,36,6,2,69.2,24.6,100,0,72,145,19,0,20.8,57.5,110.8,2.23,0,58.3,0,318.9,20.4,0,0
"Savanes","Kpendjal-Ouest","Kpendjal-Ouest 2",80,27,45,5,3,73.8,27.5,100,0,84,153,38,0,16.7,59.7,105,1.91,0,60,0,327.4,24.4,0,0
"Savanes","Oti","Oti 1",88,20,48,17,3,73.9,25,100,0,81,178,25,0,87.7,46.6,92,2.02,0,41.7,43.8,567.2,15.5,219,49.8
"Savanes","Oti","Oti 2",135,43,76,13,3,88.9,34.8,100,0,113,304,45,0,66.4,70.7,83.7,2.25,0,56.6,94.2,1137.8,11.9,219.1,69.8
"Savanes","Oti-Sud","Oti-Sud 1",123,25,86,11,1,88.6,27.6,100,0,101,269,26,0,51.5,66.7,82.1,2.19,0,29.1,38.2,1632.8,7.5,152.8,31.1
"Savanes","Oti-Sud","Oti-Sud 2",69,11,51,6,1,91.3,17.4,100,0,85,129,11,0,90.6,64.7,123.2,1.87,0,21.6,16.8,1002.7,6.9,152.7,24.3
"Savanes","Tandjoaré","Tandjoaré 1",175,65,81,25,4,73.7,24,100,0,128,339,43,0,29.7,62.9,73.1,1.94,0,80.2,97.7,414,42.3,150.3,55.8
"Savanes","Tandjoaré","Tandjoaré 2",168,72,74,18,4,81.5,25,100,0,131,286,38,0,38.2,68.2,78,1.7,0,97.3,108.3,525.8,32,150.4,64.5
"Savanes","Tône","Tône 1",338,93,177,51,17,61.8,22.5,100,0,272,788,88,0,23.2,56.2,80.5,2.33,0,52.5,213.7,534.4,63.2,229.8,63.2
"Savanes","Tône","Tône 2",92,34,49,6,3,59.8,17.4,100,0,63,193,15,0,28.6,62.3,68.5,2.1,0,69.4,78.1,214.1,43,229.7,84.9
"Savanes","Tône","Tône 3",106,39,55,10,2,80.2,26.4,100,0,87,237,19,0,25.3,50.5,82.1,2.24,0,70.9,89.6,244.5,43.4,229.7,84.5
"Savanes","Tône","Tône 4",118,32,72,11,3,72,27.1,100,0,101,301,34,0,15.8,53.8,85.6,2.55,0,44.4,73.5,321.1,36.7,229.7,62.3
